,,,"U.S. Census Bureau, 2014-18 American Community Survey 5-yr average county-level estimates","U.S. Census Bureau, 2014-18 American Community Survey 5-yr average county-level estimates","U.S. Census Bureau, 2014-18 American Community Survey 5-yr average county-level estimates","U.S. Census Bureau, 2014-18 American Community Survey 5-yr average county-level estimates","U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics","U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program","U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program",USDA ERS,USDA ERS,USDA ERS,USDA ERS
fips,state,county,less_than_high,high_school,college,bachelor,unemp,income,poverty,pop,mig_int,mig_dom,mig
1000,AL,Alabama,"470,043","1,020,172","987,148","822,595",3.9,49881,16.8,4887871,0.7,1.2,1.9
1001,AL,Autauga County,"4,204","12,119","10,552","10,291",3.6,59338,13.8,55601,0,0.7,0.6
1003,AL,Baldwin County,"14,310","40,579","46,025","46,075",3.6,57588,9.8,218022,0.5,24.3,24.8
1005,AL,Barbour County,"4,901","6,486","4,566","2,220",5.2,34382,30.9,24881,0.5,-9.1,-8.6
1007,AL,Bibb County,"2,650","7,471","3,846","1,813",4,46064,21.8,22400,0.4,-7,-6.6
1009,AL,Blount County,"7,861","13,489","13,267","5,010",3.5,50412,13.2,57840,0.1,-0.2,0
1011,AL,Bullock County,"1,760","2,817","1,582",945,4.7,29267,42.5,10138,-0.2,-3,-3.2
1013,AL,Butler County,"2,141","6,091","3,421","2,235",4.8,37365,24.5,19680,0.9,-11,-10.1
1015,AL,Calhoun County,"12,620","25,653","26,643","14,219",4.7,45400,19.5,114277,0.6,-2.2,-1.6
1017,AL,Chambers County,"4,383","9,060","7,003","3,118",3.9,39917,18.7,33615,0.6,-1.7,-1.1
1019,AL,Cherokee County,"3,692","7,157","5,417","2,407",3.6,42132,16.3,26032,0,13,13
1021,AL,Chilton County,"5,302","13,125","7,147","4,219",3.6,47547,17.3,44153,0.6,-0.1,0.4
1023,AL,Choctaw County,"1,754","3,606","2,851","1,225",5.5,39907,22.1,12841,-0.2,-3.9,-4
1025,AL,Clarke County,"3,175","7,372","4,205","2,118",7.5,40741,22.8,23920,-0.1,-5.5,-5.6
1027,AL,Clay County,"2,275","3,366","2,700",944,3.9,39201,17.6,13275,-0.1,-3.2,-3.2
1029,AL,Cleburne County,"2,364","4,135","2,518","1,428",4.2,46495,16,14987,-0.5,8.2,7.6
1031,AL,Coffee County,"4,833","9,723","12,181","8,175",3.9,55122,13.8,51909,0.3,0.1,0.4
1033,AL,Colbert County,"6,016","13,927","11,459","7,236",4.6,49055,13.8,54762,0.1,5.9,6
1035,AL,Conecuh County,"1,703","4,315","1,881",949,5.2,32613,24.4,12277,0.1,-8.3,-8.2
1037,AL,Coosa County,"1,675","3,178","2,424",953,4.2,42423,18.9,10715,1.3,-2.1,-0.8
1039,AL,Covington County,"4,530","9,368","8,588","3,952",4.6,40203,19.9,36986,-0.1,0.6,0.6
1041,AL,Crenshaw County,"2,091","3,753","2,326","1,505",4.1,39057,19.5,13824,-0.1,0.4,0.2
1043,AL,Cullman County,"10,405","20,382","18,559","7,866",3.3,45796,14.5,83442,0.3,7.7,8.1
1045,AL,Dale County,"4,732","10,924","12,036","5,690",4.2,45309,16.2,48956,-0.7,-7.3,-8.1
1047,AL,Dallas County,"5,135","9,368","8,076","4,021",6.5,34035,31.4,38310,0.1,-22.1,-22
1049,AL,DeKalb County,"12,394","15,956","13,441","6,085",3.8,39491,21.3,71385,0.5,-0.8,-0.4
1051,AL,Elmore County,"7,594","18,304","16,197","13,664",3.4,60367,11.2,81887,0.3,4.6,4.8
1053,AL,Escambia County,"4,792","11,546","6,340","3,287",4.6,38418,23.6,36748,0.1,-5.5,-5.5
1055,AL,Etowah County,"11,147","23,665","24,416","12,767",4.1,44903,17.5,102501,0.2,-1.5,-1.3
1057,AL,Fayette County,"2,060","4,868","3,273","1,516",4.1,39254,23.5,16433,0.2,1,1.2
1059,AL,Franklin County,"4,835","7,666","5,632","2,679",3.7,39388,19.2,31363,1.5,-10.7,-9.2
1061,AL,Geneva County,"3,891","6,924","5,720","2,063",3.9,37823,21.3,26314,-0.2,-0.2,-0.4
1063,AL,Greene County,"1,406","2,149","1,689",589,6.7,28524,30.1,8233,0.1,-10.4,-10.3
1065,AL,Hale County,"1,647","4,292","2,711","1,421",5.1,34724,25.6,14726,0,-4.1,-4.1
1067,AL,Henry County,"2,412","4,081","3,487","2,187",4.4,46027,17.9,17209,0.1,6.1,6.2
1069,AL,Houston County,"10,261","22,680","23,681","15,076",4,47993,16.5,104722,0.4,2.1,2.5
1071,AL,Jackson County,"6,526","15,181","10,238","5,280",4.1,41929,19.7,51736,0.2,-1.3,-1.1
