fips,state,county,agegroup,pop,male,white,black,native,asian
1001,Alabama,Autauga County,1,3364,1728,2407,713,11,48
1001,Alabama,Autauga County,2,3423,1779,2490,701,17,37
1001,Alabama,Autauga County,3,3882,1977,2878,823,11,46
1001,Alabama,Autauga County,4,3755,1913,2780,809,14,37
1001,Alabama,Autauga County,5,3173,1629,2323,718,12,58
1001,Alabama,Autauga County,6,3705,1830,2699,856,21,46
1001,Alabama,Autauga County,7,3461,1659,2606,749,7,55
1001,Alabama,Autauga County,8,3628,1767,2690,808,17,59
1001,Alabama,Autauga County,9,3616,1717,2716,773,13,64
1001,Alabama,Autauga County,10,3966,1912,3067,784,16,60
1001,Alabama,Autauga County,11,3811,1845,3011,698,26,45
1001,Alabama,Autauga County,12,3927,1956,3162,674,26,40
1001,Alabama,Autauga County,13,3237,1496,2562,605,16,27
1001,Alabama,Autauga County,14,2589,1228,2088,449,17,15
1001,Alabama,Autauga County,15,2311,1019,1950,309,19,15
1001,Alabama,Autauga County,16,1739,724,1494,210,13,10
1001,Alabama,Autauga County,17,1143,487,984,130,6,15
1001,Alabama,Autauga County,18,871,329,753,106,5,4
1003,Alabama,Baldwin County,1,11955,6135,9844,1282,101,113
1003,Alabama,Baldwin County,2,12802,6519,10669,1333,102,139
1003,Alabama,Baldwin County,3,13981,7049,11674,1480,89,229
1003,Alabama,Baldwin County,4,12932,6398,10601,1493,99,352
1003,Alabama,Baldwin County,5,11108,5632,9043,1445,97,262
1003,Alabama,Baldwin County,6,12471,6145,10393,1569,100,173
1003,Alabama,Baldwin County,7,12057,5941,10295,1319,117,138
1003,Alabama,Baldwin County,8,13156,6318,11331,1334,114,214
1003,Alabama,Baldwin County,9,12877,6261,11274,1132,109,192
1003,Alabama,Baldwin County,10,14461,7038,12844,1190,94,168
1003,Alabama,Baldwin County,11,14242,6817,12650,1164,124,147
1003,Alabama,Baldwin County,12,15744,7416,13996,1344,138,105
1003,Alabama,Baldwin County,13,15665,7307,14147,1168,127,76
1003,Alabama,Baldwin County,14,14267,6622,13100,898,86,80
1003,Alabama,Baldwin County,15,12471,5974,11697,533,88,55
1003,Alabama,Baldwin County,16,8465,3946,7931,390,56,32
1003,Alabama,Baldwin County,17,5064,2384,4760,213,29,22
1003,Alabama,Baldwin County,18,4304,1755,4052,205,14,11
1005,Alabama,Barbour County,1,1284,656,509,720,9,3
1005,Alabama,Barbour County,2,1448,717,607,784,3,7
1005,Alabama,Barbour County,3,1509,775,664,781,19,11
1005,Alabama,Barbour County,4,1451,759,617,800,7,4
1005,Alabama,Barbour County,5,1472,871,561,869,7,2
1005,Alabama,Barbour County,6,1796,1133,715,1034,16,3
1005,Alabama,Barbour County,7,1670,992,692,936,10,8
1005,Alabama,Barbour County,8,1531,923,664,806,19,17
1005,Alabama,Barbour County,9,1450,867,714,708,9,10
1005,Alabama,Barbour County,10,1624,929,818,774,11,7
1005,Alabama,Barbour County,11,1603,847,823,750,11,5
1005,Alabama,Barbour County,12,1675,826,898,738,16,7
1005,Alabama,Barbour County,13,1536,749,902,606,4,10
1005,Alabama,Barbour County,14,1540,701,865,651,9,4
1005,Alabama,Barbour County,15,1337,608,855,462,5,6
1005,Alabama,Barbour County,16,907,401,621,274,3,5
1005,Alabama,Barbour County,17,576,231,385,189,1,0
1005,Alabama,Barbour County,18,472,148,299,160,5,4
1007,Alabama,Bibb County,1,1285,656,986,255,11,0
1007,Alabama,Bibb County,2,1171,610,917,201,9,0
1007,Alabama,Bibb County,3,1326,711,1021,267,6,3
1007,Alabama,Bibb County,4,1270,683,993,251,5,3
1007,Alabama,Bibb County,5,1303,767,910,374,3,4
1007,Alabama,Bibb County,6,1726,994,1154,540,8,4
1007,Alabama,Bibb County,7,1601,960,1083,497,4,2
1007,Alabama,Bibb County,8,1512,912,1070,422,8,0
1007,Alabama,Bibb County,9,1440,796,1107,312,10,2
1007,Alabama,Bibb County,10,1598,886,1215,356,8,13
1007,Alabama,Bibb County,11,1581,847,1264,291,3,14
1007,Alabama,Bibb County,12,1534,801,1206,304,6,2
1007,Alabama,Bibb County,13,1363,671,1129,218,2,1
1007,Alabama,Bibb County,14,1182,576,988,176,7,1
1007,Alabama,Bibb County,15,992,455,860,121,4,2
1007,Alabama,Bibb County,16,731,323,651,72,4,0
1007,Alabama,Bibb County,17,422,165,363,52,0,2
1007,Alabama,Bibb County,18,363,108,294,61,0,0
1009,Alabama,Blount County,1,3460,1723,3229,62,29,15
1009,Alabama,Blount County,2,3635,1838,3417,69,18,22
1009,Alabama,Blount County,3,3902,1923,3686,80,22,14
1009,Alabama,Blount County,4,3668,1882,3455,77,31,10
1009,Alabama,Blount County,5,3178,1680,3021,66,25,13
1009,Alabama,Blount County,6,3564,1791,3463,41,15,7
1009,Alabama,Blount County,7,3370,1687,3222,73,27,10
1009,Alabama,Blount County,8,3514,1775,3386,61,33,11
1009,Alabama,Blount County,9,3553,1739,3424,59,21,12
1009,Alabama,Blount County,10,3921,1969,3787,66,18,14
1009,Alabama,Blount County,11,3897,1923,3760,48,27,8
1009,Alabama,Blount County,12,3947,2034,3825,50,19,11
1009,Alabama,Blount County,13,3683,1785,3552,59,18,15
1009,Alabama,Blount County,14,3282,1564,3166,54,27,8
1009,Alabama,Blount County,15,2961,1329,2885,33,17,2
1009,Alabama,Blount County,16,1970,899,1911,23,12,11
1009,Alabama,Blount County,17,1303,588,1270,15,8,1
1009,Alabama,Blount County,18,1032,371,997,14,11,1
1011,Alabama,Bullock County,1,600,287,130,448,4,2
1011,Alabama,Bullock County,2,598,303,137,421,11,5
1011,Alabama,Bullock County,3,601,340,110,453,8,0
1011,Alabama,Bullock County,4,529,268,99,400,5,0
1011,Alabama,Bullock County,5,626,368,124,490,2,0
1011,Alabama,Bullock County,6,769,486,140,605,5,0
1011,Alabama,Bullock County,7,757,474,195,532,13,1
1011,Alabama,Bullock County,8,689,419,193,453,12,3
1011,Alabama,Bullock County,9,620,375,196,405,6,2
1011,Alabama,Bullock County,10,654,406,229,417,4,2
1011,Alabama,Bullock County,11,604,335,145,452,3,2
1011,Alabama,Bullock County,12,752,393,184,557,5,1
1011,Alabama,Bullock County,13,678,357,204,470,1,0
1011,Alabama,Bullock County,14,541,264,153,378,3,0
1011,Alabama,Bullock County,15,407,176,153,248,0,1
1011,Alabama,Bullock County,16,296,123,114,179,1,0
1011,Alabama,Bullock County,17,233,100,89,144,0,0
1011,Alabama,Bullock County,18,184,53,66,116,2,0
1013,Alabama,Butler County,1,1119,564,488,572,3,10
1013,Alabama,Butler County,2,1232,658,574,606,5,6
1013,Alabama,Butler County,3,1288,695,590,656,6,17
1013,Alabama,Butler County,4,1173,626,466,670,7,15
1013,Alabama,Butler County,5,1090,554,475,588,6,12
1013,Alabama,Butler County,6,1196,593,530,616,4,33
1013,Alabama,Butler County,7,1083,453,514,542,2,19
1013,Alabama,Butler County,8,1254,584,563,627,4,57
1013,Alabama,Butler County,9,1136,491,557,553,3,16
1013,Alabama,Butler County,10,1182,541,667,494,4,13
1013,Alabama,Butler County,11,1131,495,618,491,4,10
1013,Alabama,Butler County,12,1360,597,777,545,5,18
1013,Alabama,Butler County,13,1441,680,888,522,8,17
1013,Alabama,Butler County,14,1242,560,729,494,8,6
1013,Alabama,Butler County,15,958,457,645,298,0,6
1013,Alabama,Butler County,16,702,282,475,215,2,2
1013,Alabama,Butler County,17,508,198,332,165,2,2
1013,Alabama,Butler County,18,585,137,395,185,1,0
1015,Alabama,Calhoun County,1,6580,3339,4475,1624,49,62
1015,Alabama,Calhoun County,2,6561,3330,4501,1628,23,69
1015,Alabama,Calhoun County,3,7146,3730,5088,1637,23,72
1015,Alabama,Calhoun County,4,7491,3768,5137,2028,33,55
1015,Alabama,Calhoun County,5,7286,3635,5003,1968,35,97
1015,Alabama,Calhoun County,6,8177,4050,5932,2028,34,51
1015,Alabama,Calhoun County,7,6882,3329,5096,1569,30,68
1015,Alabama,Calhoun County,8,6983,3376,5201,1532,55,87
1015,Alabama,Calhoun County,9,6663,3240,5040,1434,40,82
1015,Alabama,Calhoun County,10,7064,3419,5530,1361,39,66
1015,Alabama,Calhoun County,11,7239,3545,5702,1360,33,72
1015,Alabama,Calhoun County,12,8086,3838,6214,1637,53,87
1015,Alabama,Calhoun County,13,7872,3730,6191,1485,60,63
1015,Alabama,Calhoun County,14,6769,3054,5480,1134,34,59
1015,Alabama,Calhoun County,15,5307,2405,4443,735,35,47
1015,Alabama,Calhoun County,16,3672,1579,3169,419,22,23
1015,Alabama,Calhoun County,17,2388,916,2026,304,13,25
1015,Alabama,Calhoun County,18,2111,631,1798,270,6,17
1017,Alabama,Chambers County,1,1929,1011,975,831,6,41
1017,Alabama,Chambers County,2,1940,948,1011,842,14,11
1017,Alabama,Chambers County,3,1926,957,968,893,5,13
1017,Alabama,Chambers County,4,1886,1022,1016,822,2,10
1017,Alabama,Chambers County,5,2007,995,1032,904,4,22
1017,Alabama,Chambers County,6,2373,1181,1212,1068,10,54
1017,Alabama,Chambers County,7,1858,878,965,817,1,59
1017,Alabama,Chambers County,8,1876,909,972,831,7,55
1017,Alabama,Chambers County,9,1899,906,1045,806,5,30
1017,Alabama,Chambers County,10,2179,1054,1318,822,4,20
1017,Alabama,Chambers County,11,2230,1090,1259,925,9,29
1017,Alabama,Chambers County,12,2531,1215,1476,982,3,48
1017,Alabama,Chambers County,13,2419,1139,1454,911,9,30
1017,Alabama,Chambers County,14,2073,963,1297,753,11,5
1017,Alabama,Chambers County,15,1767,791,1269,474,6,2
1017,Alabama,Chambers County,16,1205,519,837,348,4,7
1017,Alabama,Chambers County,17,768,317,547,209,2,6
1017,Alabama,Chambers County,18,749,198,529,208,1,4
1019,Alabama,Cherokee County,1,1206,608,1077,51,10,11
1019,Alabama,Cherokee County,2,1348,712,1238,45,7,10
1019,Alabama,Cherokee County,3,1482,750,1363,58,9,9
1019,Alabama,Cherokee County,4,1499,746,1333,99,14,9
1019,Alabama,Cherokee County,5,1304,685,1178,83,8,3
1019,Alabama,Cherokee County,6,1548,821,1449,66,6,2
1019,Alabama,Cherokee County,7,1206,575,1118,56,11,5
1019,Alabama,Cherokee County,8,1298,635,1208,69,2,3
1019,Alabama,Cherokee County,9,1471,731,1403,39,6,4
1019,Alabama,Cherokee County,10,1733,863,1639,69,7,4
1019,Alabama,Cherokee County,11,1857,980,1753,63,10,6
1019,Alabama,Cherokee County,12,2016,991,1891,93,15,3
1019,Alabama,Cherokee County,13,2084,1010,1930,99,23,6
1019,Alabama,Cherokee County,14,1862,935,1742,82,15,4
1019,Alabama,Cherokee County,15,1683,799,1587,64,14,4
1019,Alabama,Cherokee County,16,1152,535,1098,28,9,3
1019,Alabama,Cherokee County,17,747,336,705,25,4,1
1019,Alabama,Cherokee County,18,536,184,505,20,2,1
1021,Alabama,Chilton County,1,2730,1373,2280,314,21,21
1021,Alabama,Chilton County,2,2922,1455,2436,338,16,19
1021,Alabama,Chilton County,3,2971,1463,2535,335,9,17
1021,Alabama,Chilton County,4,2847,1460,2444,311,19,13
1021,Alabama,Chilton County,5,2549,1292,2169,315,17,13
1021,Alabama,Chilton County,6,3017,1543,2548,395,22,13
1021,Alabama,Chilton County,7,2554,1273,2180,308,15,19
1021,Alabama,Chilton County,8,2679,1308,2339,275,13,17
1021,Alabama,Chilton County,9,2776,1341,2422,286,23,25
1021,Alabama,Chilton County,10,2879,1498,2543,274,14,18
1021,Alabama,Chilton County,11,2934,1448,2607,282,13,12
1021,Alabama,Chilton County,12,2998,1492,2646,304,16,6
1021,Alabama,Chilton County,13,2886,1352,2548,293,18,8
1021,Alabama,Chilton County,14,2473,1174,2228,202,15,5
1021,Alabama,Chilton County,15,1988,919,1823,146,6,2
1021,Alabama,Chilton County,16,1346,625,1245,84,6,4
1021,Alabama,Chilton County,17,835,355,756,65,3,3
1021,Alabama,Chilton County,18,769,297,710,52,4,0
1023,Alabama,Choctaw County,1,673,338,354,298,1,0
1023,Alabama,Choctaw County,2,651,325,344,293,1,0
1023,Alabama,Choctaw County,3,740,406,421,310,1,0
1023,Alabama,Choctaw County,4,749,384,428,313,0,0
1023,Alabama,Choctaw County,5,694,336,383,302,0,3
1023,Alabama,Choctaw County,6,708,335,370,332,3,0
1023,Alabama,Choctaw County,7,596,286,324,263,0,3
1023,Alabama,Choctaw County,8,693,319,415,268,2,6
1023,Alabama,Choctaw County,9,689,322,424,258,3,2
1023,Alabama,Choctaw County,10,789,365,474,309,2,2
1023,Alabama,Choctaw County,11,894,421,489,403,2,0
1023,Alabama,Choctaw County,12,1053,503,580,466,4,2
1023,Alabama,Choctaw County,13,959,443,494,456,1,1
1023,Alabama,Choctaw County,14,865,383,473,385,2,3
1023,Alabama,Choctaw County,15,803,348,509,289,0,0
1023,Alabama,Choctaw County,16,568,274,372,188,1,0
1023,Alabama,Choctaw County,17,364,150,259,104,0,0
1023,Alabama,Choctaw County,18,353,132,230,118,1,1
1025,Alabama,Clarke County,1,1386,689,651,679,13,5
1025,Alabama,Clarke County,2,1318,675,626,645,7,2
1025,Alabama,Clarke County,3,1471,749,721,707,7,9
1025,Alabama,Clarke County,4,1574,781,753,785,5,7
1025,Alabama,Clarke County,5,1433,715,664,738,11,5
1025,Alabama,Clarke County,6,1478,712,721,732,7,5
1025,Alabama,Clarke County,7,1150,551,591,525,9,4
1025,Alabama,Clarke County,8,1407,655,688,684,10,15
1025,Alabama,Clarke County,9,1381,632,688,677,5,8
1025,Alabama,Clarke County,10,1490,702,777,692,7,11
1025,Alabama,Clarke County,11,1630,763,886,727,6,6
1025,Alabama,Clarke County,12,1789,844,964,804,6,3
1025,Alabama,Clarke County,13,1660,773,912,724,9,12
1025,Alabama,Clarke County,14,1336,642,813,501,11,6
1025,Alabama,Clarke County,15,1261,583,840,408,9,0
1025,Alabama,Clarke County,16,959,418,672,278,2,1
1025,Alabama,Clarke County,17,605,255,424,175,0,3
1025,Alabama,Clarke County,18,592,189,390,193,2,2
1027,Alabama,Clay County,1,687,362,526,107,3,5
1027,Alabama,Clay County,2,733,376,568,115,5,2
1027,Alabama,Clay County,3,769,403,615,116,4,2
1027,Alabama,Clay County,4,795,425,637,129,3,1
1027,Alabama,Clay County,5,780,403,625,133,2,2
1027,Alabama,Clay County,6,763,363,629,117,5,0
1027,Alabama,Clay County,7,683,320,571,97,1,3
1027,Alabama,Clay County,8,772,381,638,118,4,2
1027,Alabama,Clay County,9,734,350,626,96,2,4
1027,Alabama,Clay County,10,870,435,741,116,5,3
1027,Alabama,Clay County,11,979,486,808,158,7,0
1027,Alabama,Clay County,12,1012,500,859,139,4,3
1027,Alabama,Clay County,13,947,457,815,117,8,3
1027,Alabama,Clay County,14,852,411,734,98,8,1
1027,Alabama,Clay County,15,673,320,569,89,4,1
1027,Alabama,Clay County,16,541,236,471,60,3,0
1027,Alabama,Clay County,17,373,144,331,35,4,0
1027,Alabama,Clay County,18,312,120,283,28,0,0
1029,Alabama,Cleburne County,1,894,453,850,12,5,0
1029,Alabama,Cleburne County,2,935,483,871,28,2,0
1029,Alabama,Cleburne County,3,987,496,913,41,7,2
1029,Alabama,Cleburne County,4,918,534,864,25,6,2
1029,Alabama,Cleburne County,5,744,390,700,26,6,4
1029,Alabama,Cleburne County,6,943,482,906,20,3,1
1029,Alabama,Cleburne County,7,807,384,765,24,3,4
1029,Alabama,Cleburne County,8,858,422,814,31,8,2
1029,Alabama,Cleburne County,9,894,450,859,21,5,2
1029,Alabama,Cleburne County,10,1036,519,996,22,2,2
1029,Alabama,Cleburne County,11,1040,519,1001,28,1,2
1029,Alabama,Cleburne County,12,1073,541,1019,39,5,2
1029,Alabama,Cleburne County,13,943,431,903,27,5,2
1029,Alabama,Cleburne County,14,908,448,861,33,6,1
1029,Alabama,Cleburne County,15,784,357,744,23,4,3
1029,Alabama,Cleburne County,16,574,283,548,20,3,0
1029,Alabama,Cleburne County,17,310,122,294,12,2,1
1029,Alabama,Cleburne County,18,339,107,326,9,1,3
1031,Alabama,Coffee County,1,3211,1657,2203,679,40,64
1031,Alabama,Coffee County,2,3394,1719,2477,582,37,40
1031,Alabama,Coffee County,3,3498,1820,2571,611,52,34
1031,Alabama,Coffee County,4,3330,1734,2465,615,36,42
1031,Alabama,Coffee County,5,2985,1514,2126,651,35,43
1031,Alabama,Coffee County,6,3327,1671,2412,684,69,44
1031,Alabama,Coffee County,7,3270,1699,2475,571,52,57
1031,Alabama,Coffee County,8,3316,1591,2482,590,50,90
